YEAR,TOPONIMIA,TIPO,VAL
2018,Hato Mayor,III,0
2018,San José de Ocoa,III,0
2018,Santo Domingo,III,45
2018,Distrito Nacional,IV,23
2018,Azua,IV,1
2018,Barahona,IV,1
2018,Dajabón,IV,0
2018,Duarte,IV,2
2018,Elías Piña,IV,1
2018,El Seibo,IV,0
2018,Espaillat,IV,0
2018,Independencia,IV,1
2018,La Altagracia,IV,2
2018,La Romana,IV,4
2018,La Vega,IV,0
2018,María Trinidad Sánchez,IV,0
2018,Monte Cristi,IV,1
2018,Pedernales,IV,0
2018,Peravia,IV,0
2018,Puerto Plata,IV,1
2018,Hermanas Mirabal,IV,0
2018,Samaná,IV,0
2018,San Cristóbal,IV,8
2018,San Juan,IV,4
2018,San Pedro de Macorís,IV,1
2018,Sánchez Ramírez,IV,1
2018,Santiago,IV,2
2018,Santiago Rodríguez,IV,0
2018,Valverde,IV,1
2018,Monseñor Nouel,IV,1
2018,Monte Plata,IV,0
2018,Hato Mayor,IV,0
2018,San José de Ocoa,IV,0
2018,Santo Domingo,IV,89
2018,Distrito Nacional,9,87
2018,Azua,9,20
2018,Barahona,9,15
2018,Dajabón,9,0
2018,Duarte,9,9
2018,Elías Piña,9,3
2018,El Seibo,9,5
2018,Espaillat,9,6
2018,Independencia,9,3
2018,La Altagracia,9,14
2018,La Romana,9,9
2018,La Vega,9,18
2018,María Trinidad Sánchez,9,9
2018,Monte Cristi,9,0
2018,Pedernales,9,2
2018,Peravia,9,20
2018,Puerto Plata,9,3
2018,Hermanas Mirabal,9,1
2018,Samaná,9,12
2018,San Cristóbal,9,38
2018,San Juan,9,18
2018,San Pedro de Macorís,9,28
2018,Sánchez Ramírez,9,17
2018,Santiago,9,7
2018,Santiago Rodríguez,9,4
2018,Valverde,9,1
2018,Monseñor Nouel,9,13
2018,Monte Plata,9,18
2018,Hato Mayor,9,3
2018,San José de Ocoa,9,5
2018,Santo Domingo,9,718
